rem,in,out
15,60,7.34
14,52.66,4.61
13,48.05,2.79
12,45.26,6.31
11,38.95,2.93
10,36.02,0.8
9,35.22,4.72
8,30.5,4.65
7,25.85,1.27
6,24.58,6.06
5,18.52,3.64
4,14.88,7.14
3,7.74,1.34
2,6.4,2.29
15,60,2.45
14,57.55,2.09
13,55.46,3.94
12,51.52,3.23
11,48.29,1.7
10,46.59,6.62
9,39.97,0.44
8,39.53,6.25
7,33.28,0.86
6,32.42,2.32
5,30.1,11.4
4,18.7,2.16
3,16.54,6.14
2,10.4,1.42
15,60,6.68
14,53.32,6.38
13,46.94,2.39
12,44.55,3
11,41.55,2.4
10,39.15,0.39
9,38.76,0.49
8,38.27,2.09
7,36.18,7.46
6,28.72,7.04
5,21.68,2.14
4,19.54,0.61
3,18.93,8.66
2,10.27,2.86
15,60,5.22
14,54.78,6.54
13,48.24,5.6
12,42.64,0.76
11,41.88,2.15
10,39.73,7.14
9,32.59,4.32
8,28.27,1.96
7,26.31,6.36
6,19.95,4.19
5,15.76,4.56
4,11.2,3.29
3,7.91,0.85
2,7.06,3.05
15,60,0.4
14,59.6,2.46
13,57.14,8.27
12,48.87,7.19
11,41.68,4.34
10,37.34,7.15
9,30.19,2.16
8,28.03,2.25
7,25.78,6.58
6,19.2,1.06
5,18.14,2.64
4,15.5,7.34
3,8.16,4.12
2,4.04,3.61
15,60,2.44
14,57.56,3.48
13,54.08,2.02
12,52.06,5.95
11,46.11,4.27
10,41.84,5.71
9,36.13,0.62
8,35.51,4.64
7,30.87,6.96
6,23.91,3.28
5,20.63,0.65
4,19.98,1.98
3,18,11.81
2,6.19,5.44
15,60,0.43
14,59.57,4.69
13,54.88,4.44
12,50.44,2.42
11,48.02,2.33
10,45.69,4.85
9,40.84,7.06
8,33.78,4.6
7,29.18,7
6,22.18,2.16
5,20.02,0.48
4,19.54,1.71
3,17.83,0.59
2,17.24,3.2
15,60,4.48
14,55.52,6.3
13,49.22,7.42
12,41.8,1.91
11,39.89,2.08
10,37.81,5.56
9,32.25,6.34
8,25.91,6.1
7,19.81,2.96
6,16.85,4.87
5,11.98,0.6
4,11.38,2.25
3,9.13,1.91
2,7.22,6.68
15,60,6.92
14,53.08,1.45
13,51.63,4.74
12,46.89,2.18
11,44.71,0.78
10,43.93,1.49
9,42.44,8.94
8,33.5,4.53
7,28.97,4.69
6,24.28,2.72
5,21.56,5.98
4,15.58,7.27
3,8.31,0.59
2,7.72,2.7
15,60,4.78
14,55.22,7.35
13,47.87,6.52
12,41.35,6.42
11,34.93,0.37
10,34.56,2.42
9,32.14,6.5
8,25.64,3.69
7,21.95,2.4
6,19.55,2.36
5,17.19,2.61
4,14.58,2.19
3,12.39,0.86
2,11.53,8.73
15,60,1.16
14,58.84,2.18
13,56.66,3.18
12,53.48,1.82
11,51.66,4.95
10,46.71,7.05
9,39.66,8.76
8,30.9,3.21
7,27.69,0.81
6,26.88,4.78
5,22.1,5.42
4,16.68,2.66
3,14.02,7.91
2,6.11,2.91
15,60,4.48
14,55.52,4.84
13,50.68,3.39
12,47.29,1.09
11,46.2,2.56
10,43.64,5.63
9,38.01,3.71
8,34.3,2.39
7,31.91,3.21
6,28.7,9.03
5,19.67,3.98
4,15.69,3.17
3,12.52,3.61
2,8.91,8.51
15,60,6.18
14,53.82,0.84
13,52.98,3.6
12,49.38,8.05
11,41.33,3.22
10,38.11,7.12
9,30.99,4.03
8,26.96,5.8
7,21.16,2.43
6,18.73,0.37
5,18.36,6.63
4,11.73,0.98
3,10.75,0.35
2,10.4,1.57
15,60,3.86
14,56.14,7.19
13,48.95,3.36
12,45.59,6.06
11,39.53,5.04
10,34.49,4.03
9,30.46,4.3
8,26.16,3.07
7,23.09,1.33
6,21.76,6.44
5,15.32,1.4
4,13.92,2.32
3,11.6,4.38
2,7.22,5.11
15,60,7.7
14,52.3,5.44
13,46.86,2.6
12,44.26,3.85
11,40.41,2.33
10,38.08,6.96
9,31.12,6.28
8,24.84,1.52
7,23.32,5.17
6,18.15,5.92
5,12.23,3.35
4,8.88,3.28
3,5.6,3.53
2,2.07,0.25
15,60,3.58
14,56.42,6.02
13,50.4,4.45
12,45.95,0.82
11,45.13,5.59
10,39.54,7.75
9,31.79,4.26
8,27.53,3.1
7,24.43,5.62
6,18.81,1.32
5,17.49,5.22
4,12.27,4.75
3,7.52,0.91
2,6.61,0.92
15,60,3.13
14,56.87,1.69
13,55.18,4.04
12,51.14,3.5
11,47.64,1.42
10,46.22,2.49
9,43.73,3.53
8,40.2,3.69
7,36.51,1.02
6,35.49,3.23
5,32.26,1.79
4,30.47,1.78
3,28.69,18.07
2,10.62,10.2
15,60,6.4
14,53.6,6.43
13,47.17,6.05
12,41.12,6.34
11,34.78,5.34
10,29.44,2.97
9,26.47,1.39
8,25.08,3.49
7,21.59,3.61
6,17.98,3.2
5,14.78,2.8
4,11.98,1.33
3,10.65,0.76
2,9.89,5.13
15,60,7.29
14,52.71,0.4
13,52.31,2.76
12,49.55,4.2
11,45.35,0.44
10,44.91,2.32
9,42.59,8.42
8,34.17,1.94
7,32.23,3.52
6,28.71,7.92
5,20.79,2.51
4,18.28,0.8
3,17.48,9.78
2,7.7,3
15,60,4.07
14,55.93,6.62
13,49.31,2.5
12,46.81,0.39
11,46.42,2.81
10,43.61,3.35
9,40.26,1.48
8,38.78,8.85
7,29.93,1.72
6,28.21,0.47
5,27.74,8.27
4,19.47,8.01
3,11.46,2.58
2,8.88,5.81
15,60,4.65
14,55.35,4.55
13,50.8,5.03
12,45.77,0.8
11,44.97,4
10,40.97,7.53
9,33.44,1.73
8,31.71,2.21
7,29.5,4.3
6,25.2,8.14
5,17.06,5.23
4,11.83,1.58
3,10.25,0.62
2,9.63,3.94
15,60,1.44
14,58.56,5.15
13,53.41,7.74
12,45.67,5.29
11,40.38,2.66
10,37.72,5.32
9,32.4,0.41
8,31.99,5.32
7,26.67,1.35
6,25.32,2.3
5,23.02,2.05
4,20.97,8.81
3,12.16,4.47
2,7.69,5.69
15,60,0.4
14,59.6,8.34
13,51.26,2.78
12,48.48,3.51
11,44.97,7.97
10,37,4.42
9,32.58,4.61
8,27.97,3.56
7,24.41,3.6
6,20.81,3.32
5,17.49,1.66
4,15.83,1.06
3,14.77,3.15
2,11.62,7.8
15,60,5.08
14,54.92,0.77
13,54.15,5.36
12,48.79,3.06
11,45.73,0.41
10,45.32,4.51
9,40.81,5.75
8,35.06,7.16
7,27.9,2.9
6,25,7.45
5,17.55,5.75
4,11.8,1.49
3,10.31,3.91
2,6.4,4.04
15,60,3.27
14,56.73,6.56
13,50.17,4.91
12,45.26,6.91
11,38.35,3.06
10,35.29,0.35
9,34.94,7.74
8,27.2,3.56
7,23.64,4.31
6,19.33,2.37
5,16.96,3.39
4,13.57,4.23
3,9.34,0.67
2,8.67,0.57
15,60,1.44
14,58.56,8.16
13,50.4,0.38
12,50.02,7.1
11,42.92,3.45
10,39.47,4.01
9,35.46,2.98
8,32.48,1.3
7,31.18,7.45
6,23.73,4.49
5,19.24,3.06
4,16.18,0.83
3,15.35,1.9
2,13.45,12.13
15,60,5.99
14,54.01,6.76
13,47.25,1.52
12,45.73,3.24
11,42.49,6.11
10,36.38,3.22
9,33.16,6.74
8,26.42,5.24
7,21.18,0.68
6,20.5,0.5
5,20,0.4
4,19.6,3.58
3,16.02,7.05
2,8.97,7.45
15,60,0.62
14,59.38,7.19
13,52.19,5.56
12,46.63,7.06
11,39.57,1.53
