rem,in,out
15,60,1.98
14,58.02,6.55
13,51.47,4.79
12,46.68,6.45
11,40.23,1.28
10,38.95,6.79
9,32.16,1.19
8,30.97,6.87
7,24.1,3.41
6,20.69,3.75
5,16.94,1.61
4,15.33,3.8
3,11.53,7.13
2,4.4,3.55
15,60,6.1
14,53.9,2.66
13,51.24,4.87
12,46.37,6.35
11,40.02,4.37
10,35.65,7.07
9,28.58,2.89
8,25.69,0.89
7,24.8,2.51
6,22.29,2.28
5,20.01,6.08
4,13.93,3.46
3,10.47,5.71
2,4.76,3.71
15,60,6
14,54,2.51
13,51.49,7.16
12,44.33,0.67
11,43.66,2.19
10,41.47,5.11
9,36.36,6.05
8,30.31,5
7,25.31,7.04
6,18.27,6.05
5,12.22,3.83
4,8.39,3.71
3,4.68,2.49
2,2.19,1.13
15,60,3.79
14,56.21,5.2
13,51.01,4.47
12,46.54,0.38
11,46.16,1.55
10,44.61,0.44
9,44.17,5.39
8,38.78,1.51
7,37.27,5
6,32.27,4.91
5,27.36,3.62
4,23.74,5.89
3,17.85,2.71
2,15.14,3.69
15,60,6.97
14,53.03,6.86
13,46.17,2.66
12,43.51,4.13
11,39.38,3.03
10,36.35,3.94
9,32.41,3.11
8,29.3,0.79
7,28.51,4.58
6,23.93,1.94
5,21.99,1.57
4,20.42,0.51
3,19.91,10.69
2,9.22,3.47
15,60,4.52
14,55.48,5.19
13,50.29,7.71
12,42.58,5.48
11,37.1,6.46
10,30.64,5.75
9,24.89,0.72
8,24.17,2.02
7,22.15,0.31
6,21.84,1.59
5,20.25,0.51
4,19.74,3.67
3,16.07,7.09
2,8.98,7.24
15,60,4.23
14,55.77,6.27
13,49.5,2.19
12,47.31,0.45
11,46.86,7.93
10,38.93,3.17
9,35.76,3.62
8,32.14,6.02
7,26.12,2.18
6,23.94,6.75
5,17.19,5.84
4,11.35,0.48
3,10.87,5.62
2,5.25,0.37
15,60,5.05
14,54.95,2.65
13,52.3,0.4
12,51.9,1.24
11,50.66,7.79
10,42.87,6.34
9,36.53,3.03
8,33.5,6.71
7,26.79,5.8
6,20.99,5.68
5,15.31,5.44
4,9.87,2.07
3,7.8,5.02
2,2.78,0.61
15,60,6.33
14,53.67,3.79
13,49.88,4.84
12,45.04,3.25
11,41.79,1.71
10,40.08,4.58
9,35.5,2.36
8,33.14,0.56
7,32.58,4.49
6,28.09,1.56
5,26.53,5.68
4,20.85,8.48
3,12.37,3.82
2,8.55,3.44
15,60,2.13
14,57.87,8.24
13,49.63,7.38
12,42.25,4.95
11,37.3,6.57
10,30.73,2.79
9,27.94,4.45
8,23.49,0.77
7,22.72,0.49
6,22.23,3.94
5,18.29,3.07
4,15.22,4.13
3,11.09,4.75
2,6.34,1.93
15,60,1.53
14,58.47,5.33
13,53.14,0.4
12,52.74,0.43
11,52.31,3.48
10,48.83,1.23
9,47.6,9.14
8,38.46,2.5
7,35.96,8.98
6,26.98,8.75
5,18.23,1.4
4,16.83,3.03
3,13.8,0.83
2,12.97,5.46
15,60,0.7
14,59.3,4.06
13,55.24,7.3
12,47.94,6.6
11,41.34,2.54
10,38.8,2.53
9,36.27,5.63
8,30.64,3.74
7,26.9,0.41
6,26.49,0.44
5,26.05,5.01
