rem,in,out
3,60,26.77
2,33.23,26.68
3,60,37.01
2,22.99,9.89
3,60,19.83
2,40.17,23.87
3,60,29.88
2,30.12,29.48
3,60,21.3
2,38.7,12.21
3,60,22.35
2,37.65,28.6
3,60,7.17
2,52.83,47.27
3,60,28.77
2,31.23,24.38
3,60,10.34
2,49.66,31
3,60,39.88
2,20.12,5.83
3,60,38.85
2,21.15,17.39
3,60,24.71
2,35.29,30.44
3,60,9.11
2,50.89,25.66
3,60,13.93
2,46.07,44.21
3,60,25.77
2,34.23,1.71
3,60,19.22
2,40.78,30.39
3,60,21.04
2,38.96,3.76
3,60,36.14
2,23.86,19.25
3,60,38.82
2,21.18,17.41
3,60,18.37
2,41.63,14.97
3,60,18.22
2,41.78,9.69
3,60,8.78
2,51.22,35.12
3,60,14.15
2,45.85,2.98
3,60,29.54
2,30.46,14.21
3,60,22.21
2,37.79,15.4
3,60,21.97
2,38.03,4.9
3,60,13.64
2,46.36,14.16
3,60,8.37
2,51.63,36.48
3,60,2.62
2,57.38,38.33
3,60,36.66
2,23.34,6.12
3,60,15.52
2,44.48,17.75
3,60,30.49
2,29.51,16.69
3,60,19.83
2,40.17,16.32
3,60,8.37
2,51.63,2.58
3,60,6.75
2,53.25,53.1
3,60,26.07
2,33.93,23.11
3,60,34.32
2,25.68,12.4
3,60,29.84
2,30.16,21.09
3,60,25.96
2,34.04,16.45
3,60,25.07
2,34.93,19.6
3,60,7.95
2,52.05,16.41
3,60,33.79
2,26.21,22.41
3,60,11.71
2,48.29,32.64
3,60,2.68
2,57.32,38.95
3,60,33.07
2,26.93,7.39
3,60,20.51
2,39.49,31.52
3,60,19.79
2,40.21,28.33
3,60,6.29
2,53.71,16.51
3,60,16.2
2,43.8,5.78
3,60,2
2,58,5.47
3,60,31.86
2,28.14,24.54
3,60,12.37
2,47.63,8.98
3,60,19.29
2,40.71,23.16
3,60,17.15
2,42.85,4.36
3,60,12.49
2,47.51,21.57
3,60,38.16
2,21.84,5.28
3,60,20.25
2,39.75,6.26
3,60,31.78
2,28.22,9.15
3,60,14.37
2,45.63,33.33
3,60,37.89
2,22.11,17.52
