rem,in,out
3,60,11.07
2,48.93,2.44
3,60,38.55
2,21.45,2.7
3,60,9.95
2,50.05,21.42
3,60,26.57
2,33.43,12.38
3,60,3.06
2,56.94,16.97
3,60,21.09
2,38.91,24.32
3,60,22.19
2,37.81,10.55
3,60,36.01
2,23.99,18.31
3,60,9.15
2,50.85,23.02
3,60,38.48
2,21.52,15.65
3,60,26.64
2,33.36,24.23
3,60,38.33
2,21.67,10.44
3,60,2
2,58,49.48
3,60,16.51
2,43.49,32.3
3,60,12.08
2,47.92,35.48
3,60,11.25
2,48.75,4.04
3,60,35.29
2,24.71,18.35
3,60,14.79
2,45.21,25.93
3,60,39.22
2,20.78,18.55
3,60,29.13
2,30.87,3.85
3,60,2
2,58,7.55
3,60,2
2,58,2.9
3,60,7.32
2,52.68,3.89
3,60,27.66
2,32.34,23.13
3,60,8.53
2,51.47,14.37
3,60,30.31
2,29.69,1.48
3,60,14.61
2,45.39,28.96
3,60,34.52
2,25.48,1.36
3,60,14.34
2,45.66,40.96
3,60,14.82
2,45.18,38.71
3,60,37.7
2,22.3,9.26
3,60,10.65
2,49.35,40.95
3,60,4.21
2,55.79,37.81
3,60,2
2,58,17.08
3,60,38.36
2,21.64,9.8
3,60,30.78
2,29.22,28.47
3,60,15.31
2,44.69,13.14
3,60,31.39
2,28.61,25.92
3,60,23.69
2,36.31,7.24
3,60,8.04
2,51.96,8.01
3,60,12.02
2,47.98,36.91
3,60,27.51
2,32.49,6.85
3,60,34.56
2,25.44,6.95
3,60,25.84
2,34.16,25.49
3,60,3.9
2,56.1,21.11
3,60,25.34
2,34.66,32.21
3,60,30.22
2,29.78,28.91
3,60,5.28
2,54.72,54.62
3,60,10.93
2,49.07,33.18
3,60,31.82
2,28.18,23.44
3,60,23.53
2,36.47,15.6
3,60,16.59
2,43.41,41.95
3,60,17.25
2,42.75,17.53
3,60,12.59
2,47.41,13.41
3,60,31.03
2,28.97,19.16
3,60,6.39
2,53.61,28.99
3,60,30.38
2,29.62,14.32
3,60,34.87
2,25.13,9.23
3,60,35.77
2,24.23,11.58
3,60,21.39
2,38.61,1.93
