rem,in,out
3,60,22.65
2,37.35,30.37
3,60,18.72
2,41.28,16.26
3,60,11.97
2,48.03,28.81
3,60,35.71
2,24.29,14.92
3,60,17.93
2,42.07,34.89
3,60,35.94
2,24.06,17.4
3,60,39.08
2,20.92,12.49
3,60,8.61
2,51.39,19.34
3,60,3.79
2,56.21,23.34
3,60,26.33
2,33.67,2.08
3,60,7.43
2,52.57,25.76
3,60,29.8
2,30.2,26.94
3,60,2.82
2,57.18,38.36
3,60,8.63
2,51.37,13.51
3,60,2.72
2,57.28,31.56
3,60,12.06
2,47.94,17.9
3,60,11.06
2,48.94,22.67
3,60,26.42
2,33.58,30.17
3,60,31.67
2,28.33,7.66
3,60,31.47
2,28.53,16.16
3,60,10.82
2,49.18,18.01
3,60,34.46
2,25.54,5.69
3,60,18.67
2,41.33,38.72
3,60,11.42
2,48.58,8.79
3,60,24.59
2,35.41,18.88
3,60,30.34
2,29.66,11.82
3,60,18.97
2,41.03,25.24
3,60,17.38
2,42.62,35.89
3,60,2.74
2,57.26,37.88
3,60,23.17
2,36.83,5.13
3,60,32.68
2,27.32,24.19
3,60,10.37
2,49.63,16.89
3,60,18.91
2,41.09,7.71
3,60,38.42
2,21.58,13.39
3,60,36.05
2,23.95,7.18
3,60,26.68
2,33.32,10.47
3,60,15.71
2,44.29,31.59
3,60,32.29
2,27.71,3.22
3,60,32.57
2,27.43,14.35
3,60,18.52
2,41.48,34.79
3,60,19.2
2,40.8,3.08
3,60,34.04
2,25.96,8.81
3,60,5.64
2,54.36,38.78
3,60,25.67
2,34.33,6.29
3,60,28.48
2,31.52,4.92
3,60,37.25
2,22.75,3.6
3,60,15.77
2,44.23,37.89
3,60,7.49
2,52.51,28.15
3,60,11.23
2,48.77,33.65
3,60,10.3
2,49.7,36.33
3,60,17.1
2,42.9,12.93
3,60,25.28
2,34.72,7.23
3,60,19.56
2,40.44,12.34
3,60,24.21
2,35.79,27.38
3,60,7.81
2,52.19,39.37
3,60,19.53
2,40.47,7.23
3,60,21.84
2,38.16,19.14
3,60,11.28
2,48.72,38.57
3,60,12.55
2,47.45,19.14
3,60,29.28
2,30.72,3.94
