1,2,3
26.77,26.68,6.55
37.01,9.89,13.1
19.83,23.87,16.3
29.88,29.48,0.64
21.3,12.21,26.49
22.35,28.6,9.05
7.17,47.27,5.56
28.77,24.38,6.85
10.34,31,18.66
39.88,5.83,14.29
38.85,17.39,3.76
24.71,30.44,4.85
9.11,25.66,25.23
13.93,44.21,1.86
25.77,1.71,32.52
19.22,30.39,10.39
21.04,3.76,35.2
36.14,19.25,4.61
38.82,17.41,3.77
18.37,14.97,26.66
18.22,9.69,32.09
8.78,35.12,16.1
14.15,2.98,42.87
29.54,14.21,16.25
22.21,15.4,22.39
21.97,4.9,33.13
13.64,14.16,32.2
8.37,36.48,15.15
2.62,38.33,19.05
36.66,6.12,17.22
15.52,17.75,26.73
30.49,16.69,12.82
19.83,16.32,23.85
8.37,2.58,49.05
6.75,53.1,0.15
26.07,23.11,10.82
34.32,12.4,13.28
29.84,21.09,9.07
25.96,16.45,17.59
25.07,19.6,15.33
7.95,16.41,35.64
33.79,22.41,3.8
11.71,32.64,15.65
2.68,38.95,18.37
33.07,7.39,19.54
20.51,31.52,7.97
19.79,28.33,11.88
6.29,16.51,37.2
16.2,5.78,38.02
2,5.47,52.53
31.86,24.54,3.6
12.37,8.98,38.65
19.29,23.16,17.55
17.15,4.36,38.49
12.49,21.57,25.94
38.16,5.28,16.56
20.25,6.26,33.49
31.78,9.15,19.07
14.37,33.33,12.3
37.89,17.52,4.59
11.07,2.44,46.49
38.55,2.7,18.75
9.95,21.42,28.63
26.57,12.38,21.05
3.06,16.97,39.97
21.09,24.32,14.59
22.19,10.55,27.26
36.01,18.31,5.68
9.15,23.02,27.83
38.48,15.65,5.87
26.64,24.23,9.13
38.33,10.44,11.23
2,49.48,8.52
16.51,32.3,11.19
12.08,35.48,12.44
11.25,4.04,44.71
35.29,18.35,6.36
14.79,25.93,19.28
39.22,18.55,2.23
29.13,3.85,27.02
2,7.55,50.45
2,2.9,55.1
7.32,3.89,48.79
27.66,23.13,9.21
8.53,14.37,37.1
30.31,1.48,28.21
14.61,28.96,16.43
34.52,1.36,24.12
14.34,40.96,4.7
14.82,38.71,6.47
37.7,9.26,13.04
10.65,40.95,8.4
4.21,37.81,17.98
2,17.08,40.92
38.36,9.8,11.84
30.78,28.47,0.75
15.31,13.14,31.55
31.39,25.92,2.69
23.69,7.24,29.07
8.04,8.01,43.95
12.02,36.91,11.07
27.51,6.85,25.64
34.56,6.95,18.49
25.84,25.49,8.67
3.9,21.11,34.99
25.34,32.21,2.45
30.22,28.91,0.87
5.28,54.62,0.1
10.93,33.18,15.89
31.82,23.44,4.74
23.53,15.6,20.87
16.59,41.95,1.46
17.25,17.53,25.22
12.59,13.41,34
31.03,19.16,9.81
6.39,28.99,24.62
30.38,14.32,15.3
34.87,9.23,15.9
35.77,11.58,12.65
21.39,1.93,36.68
